Type;VSE;
-0.31879508495330811;-0.32019114494323730
0.95751553773880005;-0.96004092693328857
0.31963384151458740;-0.96031695604324341
0.31911215186119080;-0.32114937901496887
0.32014229893684387;0.31980812549591064
0.31871378421783447;-0.31785380840301514
-0.31893065571784973;-0.32068490982055664
-0.31988182663917542;-0.31997072696685791
-0.31882184743881226;-0.95996338129043579
-0.32049936056137085;-0.32032635807991028
-0.95950222015380859;-0.95761650800704956
-0.95980787277221680;-0.32039374113082886
-0.32035258412361145;-0.95851391553878784
-0.31981039047241211;0.32018801569938660
-0.95802628993988037;-0.95979547500610352
0.31756663322448730;-0.95877325534820557
0.95961129665374756;-0.32000577449798584
0.31958213448524475;0.96036940813064575
0.96038025617599487;-0.96090143918991089
-0.31875085830688477;-0.95687246322631836
-0.95730626583099365;-0.95786994695663452
-0.31953167915344238;0.32171520590782166
-0.31837204098701477;-0.95987582206726074
0.31854498386383057;-0.31665617227554321
-0.31967580318450928;-0.95758312940597534
-0.95752620697021484;0.31969279050827026
-0.31753209233283997;0.32106864452362061
-0.31687283515930176;-0.95734304189682007
0.32060515880584717;-0.31706655025482178
0.95990139245986938;0.32146066427230835
0.95742654800415039;0.32028540968894958
-0.31928363442420959;0.96163505315780640
0.31937092542648315;-0.95935648679733276
-0.95754063129425049;0.95918571949005127
-0.95914971828460693;0.32044315338134766
-0.95843583345413208;-0.31901824474334717
0.95997971296310425;-0.95677804946899414
-0.95811975002288818;0.95866996049880981
-0.95670330524444580;-0.95793753862380981
-0.31810197234153748;-0.31897294521331787
-0.95703119039535522;0.31988459825515747
-0.95732748508453369;0.32080289721488953
0.32105782628059387;-0.95792371034622192
-0.31774452328681946;-0.95795232057571411
-0.95791834592819214;0.96114027500152588
-0.95819735527038574;-0.95904690027236938
-0.95683836936950684;0.32003131508827209
0.32018300890922546;0.32069945335388184
-0.95777511596679688;-0.95938724279403687
0.95964360237121582;-0.95688271522521973
0.32104852795600891;-0.31916031241416931
0.95739769935607910;0.32120212912559509
0.32302030920982361;0.31794598698616028
0.32097023725509644;-0.31598243117332458
-0.31965872645378113;0.95861810445785522
-0.95884883403778076;-0.95865440368652344
0.95902055501937866;0.32016459107398987
0.96046388149261475;-0.31811523437500000
-0.95759856700897217;0.32029440999031067
-0.95746904611587524;-0.95826756954193115
0.32336559891700745;-0.31865397095680237
0.95898163318634033;-0.95682251453399658
0.95987325906753540;0.95935362577438354
